player,class,pos,summary,year,school,coach,Player,Class,Pos,Summary,Year,School,Coach
Josh Smith,SO,DB,,2011,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Justin Smith,SO,DB,,2011,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Courtney Viney,SR,DB,,2011,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Ben Bradley,SR,DB,,2011,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
George Callender,SO,DB,,2011,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Donyae Coleman,SR,DB,,2011,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Jonte Green,SR,DB,,2011,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Andrew Manley,SO,QB,"207 Cmp, 384 Att, 2764 Yds, 18 TD",2012,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Travaughn Colwell,SO,QB,"6 Cmp, 13 Att, 66 Yds, 1 TD",2012,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Andrew McDonald,JR,QB,"1 Cmp, 3 Att, 3 Yds, 0 TD",2012,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Germi Morrison,JR,RB,"159 Att, 767 Yds, 4.8 Avg",2012,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Tiger Powell,JR,RB,"72 Att, 236 Yds, 3.3 Avg",2012,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Robert Clay,SR,RB,"30 Att, 111 Yds, 3.7 Avg",2012,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Akeelie Mustafa,SO,RB,"15 Att, 70 Yds, 4.7 Avg",2012,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
David Quiroga,SR,RB,"5 Rec, 37 Yds, 7.4 Avg",2012,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Brandon Betancourt,SO,RB,,2012,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Austin Franklin,SO,WR,"74 Rec, 1245 Yds, 16.8 Avg",2012,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Kemonte Bateman,SR,WR,"50 Rec, 707 Yds, 14.1 Avg",2012,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Jerrel Brown,JR,WR,"19 Rec, 250 Yds, 13.2 Avg",2012,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Joseph Matthews,SO,WR,"8 Rec, 133 Yds, 16.6 Avg",2012,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Adam Shapiro,SO,WR,"2 Rec, 15 Yds, 7.5 Avg",2012,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Marcus Williams,SR,WR,"2 Rec, 25 Yds, 12.5 Avg",2012,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Trevor Walls,SR,TE,"19 Rec, 182 Yds, 9.6 Avg",2012,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Andrew Dean,SO,TE,,2012,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Perris Scoggins,JR,TE,"11 Rec, 115 Yds, 10.5 Avg",2012,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Andy Cunningham,FR,OL,,2012,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Mike Kaiser,JR,OL,,2012,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Jake Capraro,JR,K,,2012,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Maxwell Johnson,JR,K,,2012,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Tyler Stampler,SR,K,,2012,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
