,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Tackles,Tackles,,Def Interceptions,Def Interceptions,Def Interceptions,Scoring,Scoring,Scoring,Scoring,-additional
Rk,Player,Pos,From,To,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Ast,Sk,Int,Yds,TD,FGA,FGM,XPA,XPM,-9999
158,Brian Rimpf,G-T,2004,2005,16,,,,0,,,,0,,,0,,,0.0,0,0,0,,,,,RimpBr20
159,Marcus Robinson,WR,2003,2003,15,,,,0,,,,0,31,451,6,0,0,0.0,0,0,0,,,,,RobiMa00
160,Samari Rolle,DB,2005,2007,38,,,,0,,,,0,,,0,108,7,1.0,5,71,0,,,,,RollSa00
161,Cory Ross,RB,2006,2007,10,,,,0,,12,72,1,0,0,0,,,0.0,0,0,0,,,,,RossCo00
162,B.J. Sams,RB,2004,2007,43,,,,0,,4,19,1,1,2,0,2,0,0.0,0,0,0,,,,,SamsB.00
163,Deion Sanders,DB-WR,2004,2005,25,,,,0,,2,-10,0,0,0,0,34,4,0.0,5,144,1,,,,,SandDe00
164,Frank Sanders,WR,2003,2003,13,,,,0,,,,0,14,170,0,0,0,0.0,0,0,0,,,,,SandFr00
165,Gerome Sapp,DB,2003,2007,38,,,,0,,,,0,,,0,40,3,2.0,0,1,0,,,,,SappGe20
166,Bart Scott,LB,2002,2007,93,,,,0,,,,0,,,0,260,105,14.5,3,31,0,,,,,ScotBa20
167,Shannon Sharpe,TE,2000,2001,32,,,,0,,,,0,140,1621,7,0,0,0.0,0,0,0,,,,,SharSh00
168,Jamie Sharper,LB,1999,2001,48,,,,0,,,,0,,,0,218,62,10.0,1,45,0,,,,,SharJa20
169,Tony Siragusa,DT-NT,1999,2001,44,,,,0,,,,0,,,0,68,23,5.5,0,0,0,,,,,SiraTo20
170,T.J. Slaughter,LB,2003,2004,15,,,,0,,,,0,,,0,13,1,0.0,0,0,0,,,,,SlauT.20
171,Fernando Smith,DE,1999,1999,15,,,,0,,,,0,,,0,14,3,2.0,0,0,0,,,,,SmitFe20
172,Mike Smith,LB,2005,2006,14,,,,0,,,,0,0,0,0,5,1,0.0,0,0,0,,,,,SmitMi22
173,Musa Smith,RB,2003,2007,49,,,,0,,132,496,4,54,363,0,23,3,0.0,0,0,0,,,,,SmitMu00
174,Troy Smith,QB,2007,2007,4,40,76,452,2,0,12,54,1,,,0,0,0,0.0,0,0,0,,,,,SmitTr02
175,Mike Solwold,C,2004,2004,1,,,,0,,,,0,,,0,,,0.0,0,0,0,,,,,SolwMi20
176,Duane Starks,DB,1999,2001,46,,,,0,,,,0,,,0,141,12,0.0,15,193,1,,,,,StarDu20
177,Kordell Stewart,QB,2004,2005,3,,,,0,,5,23,0,0,0,0,,,0.0,0,0,0,,,,,StewKo00
178,Gary Stills,DE,2006,2007,32,,,,0,,,,0,,,0,39,2,1.0,0,0,0,,,,,StilGa00
179,Brandon Stokley,WR,1999,2002,33,,,,0,,8,38,0,60,913,7,0,0,0.0,0,0,0,,,,,StokBr00
180,Matt Stover,K,1999,2007,143,,,,0,,,,0,,,0,13,0,0.0,0,0,0,298,261,271,271,stovemat01
181,Terrell Suggs,LB-DE,2003,2007,80,,,,0,,,,0,,,0,215,93,45.0,3,49,0,,,,,SuggTe99
182,Harry Swayne,T-DE,1999,2000,19,,,,0,,,,0,,,0,0,0,0.0,0,0,0,,,,,SwayHa20
183,Quinn Sypniewski,TE,2006,2007,31,,,,0,,,,0,36,261,1,2,0,0.0,0,0,0,,,,,SypnQu00
184,Thatcher Szalay,G,2005,2005,4,,,,0,,,,0,,,0,,,0.0,0,0,0,,,,,SzalTh20
185,Robert Tate,DB,2002,2002,13,,,,0,,,,0,,,0,20,3,0.0,0,0,0,,,,,TateRo00
186,Chester Taylor,RB,2002,2005,62,,,,0,,373,1599,4,105,737,3,24,1,0.0,0,0,0,,,,,TaylCh01
