Player,Pos,Summary,Year
Clay Blackwell,RB,"10 Att, 29 Yds, 2.9 Avg",1978
Perry Bradford,RB,"4 Att, 22 Yds, 5.5 Avg",1978
Kyle Whittingham,RB,"9 Att, 25 Yds, 2.8 Avg",1978
Mike Chronister,WR,"52 Rec, 850 Yds, 16.3 Avg",1978
Kent Tingey,WR,"20 Rec, 280 Yds, 14.0 Avg",1978
Lloyd Jones,WR,"7 Rec, 148 Yds, 21.1 Avg",1978
Stan Younger,WR,"1 Rec, 45 Yds, 45.0 Avg",1978
Bill Davis,WR,"10 Rec, 148 Yds, 14.8 Avg",1978
Dan Plater,WR,"1 Rec, 17 Yds, 17.0 Avg",1978
Tod Thompson,TE,"34 Rec, 560 Yds, 16.5 Avg",1978
Clay Brown,TE,"9 Rec, 184 Yds, 20.4 Avg",1978
Tom Bell,OL,,1978
Nick Eyre,OL,,1978
Al Gaspard,OL,,1978
Danny Hansen,OL,,1978
Scott Neilson,OL,,1978
Randy Tidwell,OL,,1978
Brent Johnson,K,,1978
Bob Kittell,K,,1978
John Kormylo,DL,,1978
Mat Mendenhall,DL,,1978
Doug Stromberg,DL,,1978
Ross Varner,DL,,1978
Tom Enlow,LB,,1978
Larry Miller,LB,,1978
Rod Wood,LB,,1978
Marv Allen,LB,,1978
Jason Coloma,DB,,1978
Dave McKee,DB,,1978
Bill Schoepflin,DB,,1978
Ron Velasco,DB,,1978
Dave Francis,DB,,1978
Bob Prested,DB,,1978
Tim Halverson,DB,,1978
Marc Swenson,DB,,1978
Marc Wilson,QB,"250 Cmp, 427 Att, 3720 Yds, 29 TD",1979
Royce Bybee,QB,"26 Cmp, 37 Att, 331 Yds, 4 TD",1979
Eric Lane,RB,"94 Att, 595 Yds, 6.3 Avg",1979
Homer Jones,RB,"75 Att, 546 Yds, 7.3 Avg",1979
Scott Phillips,RB,"46 Att, 321 Yds, 7.0 Avg",1979
Steve Carlsen,RB,"36 Att, 201 Yds, 5.6 Avg",1979
Doug Williams,RB,"22 Att, 50 Yds, 2.3 Avg",1979
Mike Lacey,RB,"7 Att, 8 Yds, 1.1 Avg",1979
Clay Blackwell,RB,"7 Att, 30 Yds, 4.3 Avg",1979
