Rk,Year,Lg,Rnd,Pick,Tm,Player,Pos,School,Coach
257,1963,NFL,1,8,SFO,Kermit Alexander Jr.,DB,UCLA,DeWayne Walker
258,1963,NFL,9,113,RAM,Mel Profit,E,UCLA,DeWayne Walker
259,1963,AFL,16,128,KAN,Mel Profit,E,UCLA,DeWayne Walker
260,1963,AFL,19,145,OAK,Tony Fiorentino,G,UCLA,DeWayne Walker
261,1962,AFL,9,67,DTX,Marshall Shirk,T,UCLA,DeWayne Walker
262,1962,NFL,9,114,MIN,Marshall Shirk,T,UCLA,DeWayne Walker
263,1962,NFL,14,189,CHI,Andy Von Sonn,LB,UCLA,DeWayne Walker
264,1962,AFL,27,210,DEN,Andy Von Sonn,LB,UCLA,DeWayne Walker
265,1962,NFL,20,268,RAM,Foster Andersen,T,UCLA,DeWayne Walker
266,1961,NFL,1,6,SFO,Jimmy Johnson,DB,UCLA,DeWayne Walker
267,1961,NFL,1,11,SFO,Billy Kilmer,QB,UCLA,DeWayne Walker
268,1961,AFL,4,32,SDG,Jimmy Johnson,DB,UCLA,DeWayne Walker
269,1961,AFL,5,39,SDG,Billy Kilmer,QB,UCLA,DeWayne Walker
270,1961,NFL,7,88,RAM,Bobby Smith,DB,UCLA,DeWayne Walker
271,1961,AFL,21,167,SDG,Gene Gaines,HB,UCLA,DeWayne Walker
272,1961,AFL,26,205,NYT,Bobby Smith,DB,UCLA,DeWayne Walker
273,1960,AFL,,0,BUF,Marv Luster,E,UCLA,DeWayne Walker
274,1960,AFL,,0,HOU,Paul Oglesby,T,UCLA,DeWayne Walker
275,1960,AFL,,0,OAK,Ray Smith,FB,UCLA,DeWayne Walker
276,1960,NFL,9,97,RAM,Marv Luster,E,UCLA,DeWayne Walker
277,1960,NFL,10,113,STL,Paul Oglesby,T,UCLA,DeWayne Walker
278,1959,NFL,9,106,CLE,Kirk Wilson,B,UCLA,DeWayne Walker
279,1959,NFL,13,149,DET,Jim Steffen,DB,UCLA,DeWayne Walker
280,1959,NFL,17,199,PIT,Bill Leeka,T,UCLA,DeWayne Walker
281,1959,NFL,24,282,SFO,Craig Chudy,E,UCLA,DeWayne Walker
