Rk,Year,Lg,Rnd,Pick,Tm,Player,Pos,School,Coach
161,1946,NFL,15,140,RAM,Dick Lorenz,E,Oregon State,Dave Kragthorpe
162,1946,NFL,26,247,DET,Roger Anderson,G,Oregon State,Dave Kragthorpe
163,1944,NFL,14,138,WAS,Boyd Clement,C,Oregon State,Dave Kragthorpe
164,1944,NFL,16,159,GNB,Lou Shelton,B,Oregon State,Dave Kragthorpe
165,1944,NFL,16,160,WAS,Ted Ossowski,T,Oregon State,Dave Kragthorpe
166,1944,NFL,26,270,WAS,Lee Gustafson,B,Oregon State,Dave Kragthorpe
167,1943,NFL,5,31,DET,Lloyd Wickett,T,Oregon State,Dave Kragthorpe
168,1943,NFL,16,150,WAS,Joe Day,B,Oregon State,Dave Kragthorpe
169,1943,NFL,23,217,PHP,George Bain,T,Oregon State,Dave Kragthorpe
170,1943,NFL,24,228,GNB,George Zellick,E,Oregon State,Dave Kragthorpe
171,1942,NFL,3,20,DET,Bob Dethman,B,Oregon State,Dave Kragthorpe
172,1942,NFL,8,63,PHI,Bill Halverson,T,Oregon State,Dave Kragthorpe
173,1942,NFL,8,66,WAS,George Peters,B,Oregon State,Dave Kragthorpe
174,1941,NFL,5,33,PIT,Vic Sears,T,Oregon State,Dave Kragthorpe
175,1941,NFL,6,44,RAM,Jim Kisselburgh,B,Oregon State,Dave Kragthorpe
176,1941,NFL,8,67,NYG,Len Younce,G,Oregon State,Dave Kragthorpe
177,1941,NFL,16,150,WAS,Ken Dow,FB,Oregon State,Dave Kragthorpe
178,1940,NFL,4,28,PHI,Elbie Schultz,T,Oregon State,Dave Kragthorpe
179,1940,NFL,16,145,RAM,Morris Kohler,B,Oregon State,Dave Kragthorpe
180,1940,NFL,17,156,DET,Johnny Hackenbruck,T,Oregon State,Dave Kragthorpe
181,1939,NFL,6,47,DET,Joe Wendlick,E,Oregon State,Dave Kragthorpe
182,1939,NFL,13,117,DET,Prescott Hutchins,G,Oregon State,Dave Kragthorpe
183,1938,NFL,1,10,CHI,Joe Gray,B,Oregon State,Dave Kragthorpe
184,1938,NFL,7,60,CHI,Frank Ramsey,T,Oregon State,Dave Kragthorpe
185,1938,NFL,9,72,PHI,Elmer Kolberg,HB,Oregon State,Dave Kragthorpe
